PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2019;09;26;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00011;V;00013;V;00013;V;00010;V;00009;V;00007;V;00006;V;00005;V;00005;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2019;09;26;000.6;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.6;V;000.8;V;000.9;V;000.7;V;000.5;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2019;09;26;00037;V;00028;V;00008;V;00009;V;00004;V;00008;V;00031;V;00109;V;00167;V;00155;V;00096;V;00043;V;00026;V;00013;V;00009;V;00005;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2019;09;26;00069;V;00055;V;00042;V;00037;V;00029;V;00031;V;00036;V;00054;V;00065;V;00062;V;00061;V;00056;V;00049;V;00038;V;00034;V;00024;V;00019;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2019;09;26;00126;V;00098;V;00055;V;00050;V;00035;V;00044;V;00084;V;00221;V;00321;V;00299;V;00209;V;00122;V;00088;V;00059;V;00048;V;00032;V;00024;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2019;09;26;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00005;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2019;09;26;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.5;V;000.4;V;000.3;V;000.4;V;000.6;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2019;09;26;00002;V;00002;V;00003;V;00001;V;00001;V;00003;V;00003;V;00018;V;00058;V;00047;V;00027;V;00018;V;00020;V;00018;V;00014;V;00013;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2019;09;26;00043;V;00037;V;00043;V;00020;V;00013;V;00023;V;00035;V;00061;V;00079;V;00068;V;00055;V;00049;V;00055;V;00051;V;00046;V;00042;V;00039;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2019;09;26;00005;V;00001;V;00002;V;00006;V;00009;V;00003;V;00004;V;00006;V;00013;V;00006;V;00008;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2019;09;26;00008;V;00020;V;00004;V;00018;V;00014;V;00006;V;00009;V;00006;V;00025;V;00026;V;00022;V;00011;V;00017;V;00012;V;00033;V;00026;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
